Year,Month,Economic_Confidence_Index,Consumer_Confidence_Index,Real_Sector_Confidence_Index,Services_Confidence_Index,Retail_Trade_Confidence_Index,Construction_Confidence_Index
2015.0,12.0,105.36145866590032,93.6402850285,106.6,118.5929952,125.7288001,95.32232416
2016.0,1.0,104.17226076677697,92.2352630355,106.5,116.3106062,126.6319336,95.26504331
2016.0,2.0,101.5972123640405,90.0443859135,105.1,113.2711451,124.4554198,93.94741757
2016.0,3.0,102.04474354729795,90.08309600075,104.6,115.141372,126.3887335,92.04362814
2016.0,4.0,101.32016472061801,91.310288611,105.3,111.5456452,120.4040891,91.97509134
2016.0,5.0,102.01842692041595,91.52763129225,105,113.983075,121.3014329,90.9350843
2016.0,6.0,101.81099948791957,91.633035264,104.1,114.1250943,119.049815,92.08423768
2016.0,7.0,102.57492099485115,88.9019072515,105.7,115.579009,121.3347329,93.2516852
2016.0,8.0,100.33164525148568,94.71843367325,101.7,111.8115549,116.3481199,90.7099242
2016.0,9.0,104.08287105618538,94.8055832865,106.6,114.9198795,118.7164101,92.43080544
2016.0,10.0,103.0291488818728,95.293238847,104.9,114.064993,118.8496513,91.00550928
2016.0,11.0,103.50602105679546,91.562718237,108.2,114.4560546,118.6034897,87.19122478
2016.0,12.0,100.10903563947562,87.373320549,103.9,114.0215079,119.7485021,86.36970516
2017.0,1.0,97.60242866254679,88.720770542,100.6,110.3725176,114.6303162,85.70651743
2017.0,2.0,101.45794390503058,88.0329682225,106.2,113.3270846,117.0617043,87.09708088
2017.0,3.0,103.7177463476684,90.10925194025,106.5,116.2986565,117.3767695,96.09647867
2017.0,4.0,104.29579308037447,92.0193141905,106.3,118.3674428,120.421423,96.49426414
2017.0,5.0,105.39103888181658,93.99177382425,104.8,121.5752981,122.3865537,97.99317474
2017.0,6.0,105.99376363707252,92.2624983525,108.8,118.9778562,120.6890713,98.06428871
2017.0,7.0,106.86673056498157,92.41038512125,107.7,121.4854693,125.5635085,96.37318539
2017.0,8.0,108.72219595496803,93.01144848025,110.2,122.9314622,124.5986492,99.28948522
